,unitàId,archivio,titolo,serie,sottoserie,contenitore,opera,anno,mese,day
0,unitàbonsanti-0,Archivio Bonsanti,«Piccola antologia 1904»,II 1,Quaderni 1,1 scatola,"Appunti giovanili, scolastici e universitari (politecnico)",1904,,
1,unitàbonsanti-1,Archivio Bonsanti,«1913. – Gaddus» [appunti di analisi matematica],II 1,Quaderni 1,1 scatola,"Appunti giovanili, scolastici e universitari (politecnico)",1913,,
2,unitàbonsanti-2,Archivio Bonsanti,«Giornale di campagna vol. 2°. 1915-1916»,II 1,Quaderni 1,1 scatola,Quaderni militari,1915-1916,,
3,unitàbonsanti-3,Archivio Bonsanti,[Quaderno di studio del tedesco *10* novembre 1917],II 1,Quaderni 1,1 scatola,Quaderni di studio del tedesco,1917,novembre,*10*
4,unitàbonsanti-4,Archivio Bonsanti,[Quaderno di studio del tedesco *24* aprile 1918-23 maggio 1918],II 1,Quaderni 1,1 scatola,Quaderni di studio del tedesco,1918,aprile,*24*
5,unitàbonsanti-5,Archivio Bonsanti,[Quaderno di studio del tedesco «*28* Ottobre 1918»],II 1,Quaderni 1,1 scatola,Quaderni di studio del tedesco,1918,Ottobre,*28*
6,unitàbonsanti-6,Archivio Bonsanti,«Lingua tedesca. 1918»,II 1,Quaderni 1,1 scatola,Quaderni di studio del tedesco,1918,,
7,unitàbonsanti-7,Archivio Bonsanti,[Quaderno di studio del tedesco] 1928,II 1,Quaderni 1,1 scatola,Quaderni di studio del tedesco,1928,,
8,unitàbonsanti-8,Archivio Bonsanti,[Quaderno di studio del tedesco] s.d.,II 1,Quaderni 1,1 scatola,Quaderni di studio del tedesco,,,
9,unitàbonsanti-9,Archivio Bonsanti,«Giornale finanziario 1920»,II 1,Quaderni 1,1 scatola,Quaderni di contabilità,1920,,
10,unitàbonsanti-10,Archivio Bonsanti,Contabilità e appunti agosto 1921,II 1,Quaderni 1,1 scatola,Quaderni di contabilità,1921,agosto,
